# Total_Iterations; SpaceFilter; TimeFilter; POOL_SIZE; DIM_MULTI_LEVEL
#4.39003e+10;3;3;10;10;
Pattern;Sum_level;Count_level
134086688;314037;60
33526729;116146;30
16678495;34624;10
58719652;47064;10
80741376;45572;10
73671056;35825;10
68290568;36726;10
117700096;1016258;100
104280726;34353;10
1605124;34227;10
133010139;222963;50
65519611;119029;30
133950967;1040412;100
58834944;606250;100
5799431;40165;10
213500;988514;100
14708471;34208;10
67174560;120736;30
98496119;432947;90
114399;1118050;100
158775;36838;10
81750527;36301;10
124762073;1110386;100
233929;88618;20
8142591;1019568;100
117180480;234744;60
10223487;51296;10
70041215;37854;10
50332232;181266;50
79654839;265043;60
16814216;131571;30
84382719;36210;10
1599487;35679;10
115762995;40359;10
3948284;102562;30
117583879;79663;20
134217697;1126814;100
130023390;75609;20
133332519;163924;40
57669620;39779;10
157376;69715;20
132362312;128265;30
126058496;1181877;100
8646695;36444;10
16547527;709547;100
19182591;41190;10
133996063;46192;10
65138760;34228;10
115001544;36822;10
1310209;538373;100
110324151;34381;10
52687296;122685;30
2364930;78874;20
127138294;34781;10
57110527;238034;50
19660801;750010;100
120822092;39838;10
10448639;42270;10
100892679;101448;20
50565632;36954;10
221256;492999;80
95867240;373680;90
1021;351661;80
102961663;187165;50
86147520;55346;10
123996671;519743;100
1313727;39438;10
64482293;39870;10
62128128;360543;70
19284016;43985;10
224774;195876;50
71508352;74257;20
50593776;38726;10
9586688;1112502;100
134057988;642805;100
120042495;597589;100
81340051;42900;10
75173601;155137;40
83075063;35046;10
133429665;34014;10
38273280;188295;40
95683584;40335;10
98356839;33981;10
115310303;81045;20
117600831;34585;10
75603968;167737;40
131287300;34378;10
1835462;80344;20
37814272;1003090;100
16531008;34065;10
76694015;632684;90
4064255;43016;10
3928575;33714;10
9451008;455067;80
54649072;134221;30
134200827;37999;10
69078559;77294;20
7339808;35802;10
134086729;783563;100
134090247;492246;90
229691;137654;30
75366143;193052;40
110887423;451626;90
2619387;183639;40
47742976;33779;10
115375623;403197;90
16757208;645216;100
51481032;77736;20
23429120;83939;20
10243875;36411;10
13661465;33608;10
117538824;194770;40
117341775;39064;10
6389784;36786;10
58458331;306895;70
155936;129696;30
51384319;33888;10
67332314;38093;10
295936;37556;10
19918335;220684;50
1048706;38675;10
3595190;72510;20
226852;33824;10
16271396;42511;10
52430336;476247;90
18652895;34369;10
12295;692529;90
56996429;41082;10
114835519;36460;10
117567647;35099;10
33339391;37640;10
9456645;33631;10
52688695;150578;40
20224729;72552;20
256436;218975;50
115041682;38748;10
32798782;33653;10
3939849;325707;70
76583640;111097;30
14826766;117683;30
29163263;583668;100
32309247;33974;10
530015;34858;10
258555;1123645;100
14971455;549044;100
1050825;222582;60
67084255;337773;70
100662838;33616;10
134119111;243407;50
121533415;35471;10
67106803;35270;10
14709150;37900;10
2134861;39182;10
12328463;923062;100
133151743;222399;40
83643972;119910;30
83459596;33856;10
107443129;223832;50
13641756;33645;10
71705360;48492;10
9989631;277310;70
10486020;183617;50
82739003;35201;10
115337727;428810;90
81489206;997364;100
134215619;128848;30
3934212;233455;50
114819328;943546;100
262073;420920;80
6566404;34391;10
2101759;1011879;100
29247;80101;20
58523136;77521;20
66911791;333580;70
12586758;35810;10
36772493;33935;10
132386815;828268;100
58491392;34755;10
121109497;36205;10
67146457;35918;10
34884;967698;100
132381178;382105;70
114948095;81981;20
19775414;399318;90
131328486;35659;10
788187;233760;50
133319167;434484;100
294455;35627;10
25214988;33679;10
118738406;81761;20
69506848;35410;10
15757368;999200;100
67305528;44225;10
119520760;149564;40
52138488;36654;10
117259995;70074;20
409601;83651;20
16546848;34486;10
113393728;308696;70
16880379;36055;10
123727863;689129;100
132316455;37032;10
47822409;50683;10
133170691;44364;10
127586151;82664;20
14565632;34541;10
81756123;77759;20
105579906;34156;10
32765;328756;70
131817888;43746;10
109045308;73133;20
8421953;42397;10
120567807;694223;100
86217160;350193;80
110358014;993481;100
254399;412174;80
117407259;71931;20
10253112;34102;10
63037891;370623;90
63863271;135953;30
76759540;33690;10
8523524;34797;10
132119037;383329;80
81788423;185120;50
4227072;1044053;100
1573380;235849;50
13373440;48694;10
80163737;37585;10
83853302;109134;30
26860782;441443;90
2368530;648962;100
117698615;535285;90
109054463;73053;20
41761950;34139;10
16847359;38366;10
1062;643342;100
36054052;110717;30
118984133;36846;10
125829147;35482;10
134150135;73307;20
133759104;82191;20
262155;1020608;100
6041092;33811;10
127355813;40303;10
51654175;35838;10
33767680;98779;20
65835593;34490;10
147460;1082326;100
57521864;509206;90
131293616;215831;50
131746047;37719;10
2996223;483435;90
8652291;88278;20
19248795;310090;70
30175630;39377;10
14709232;400839;80
70172511;530954;100
114508068;35239;10
139704;38585;10
57423360;612457;100
56885695;329563;70
86413899;141658;30
10451519;35809;10
134052351;242441;60
2397394;34398;10
71450624;80745;20
64782271;35870;10
133993183;544013;90
119088274;36564;10
26791142;140053;30
80773120;111900;30
132219391;724546;100
9961487;71832;20
75644931;282233;70
67257634;36250;10
117013694;343893;80
149579;702263;100
58309855;587650;100
102613112;50394;10
524296;1002105;100
118718656;33842;10
9716257;135092;30
66887247;775440;100
125827069;749960;100
130265599;127564;30
8380416;210961;40
117374959;665689;100
134189512;1141559;100
116781055;39347;10
119439167;479081;80
309247;1075792;100
18911295;86359;20
23855108;408248;70
134214138;529348;90
126306688;39491;10
133431023;34312;10
116873694;34688;10
16548288;75103;20
131844592;34812;10
110643200;34517;10
133165054;399768;70
28761983;37604;10
67080696;37910;10
131855866;519051;100
83851224;33998;10
52456999;35891;10
132904950;35047;10
134109997;417852;80
65073276;36125;10
23860745;753760;100
134204983;39354;10
1048068;80370;20
14927758;87822;20
1075492;35922;10
65926751;220774;60
103224073;111015;30
129890303;44936;10
85462599;37162;10
57784543;35338;10
16802304;41142;10
8585408;48564;10
65159107;34633;10
132379100;535589;100
7895160;523748;100
114358;33663;10
9469956;81551;20
15067079;72200;20
14839808;38777;10
125802443;489009;80
28536831;34444;10
129227748;36848;10
17023487;502219;90
33554522;46627;10
14709191;935306;100
85921607;34273;10
117165688;86490;20
127060260;154788;40
12336;499825;80
258596;69023;20
815160;448865;80
17601610;34505;10
535570;36336;10
32502778;35591;10
131853747;73604;20
15206400;34110;10
209344;33781;10
123891769;337694;80
507426;36426;10
67108840;123382;30
117403062;1152718;100
131783387;335705;70
134217656;1143620;100
19239640;41396;10
133922823;535833;100
126852926;71157;20
75572224;164233;40
134188792;36702;10
133136190;36929;10
117153735;237767;60
25165695;35142;10
56940902;36963;10
80530739;35565;10
