Pattern;p
52588032;7.76699e-07
134067928;1.40409e-06
129955803;4.86034e-08
6285823;9.50253e-08
131878407;1.40743e-07
117702216;1.03405e-06
130247167;4.19161e-07
16545752;1.27927e-07
16777735;1.07155e-06
24942089;1.29507e-06
14679567;4.1673e-07
1589759;3.51903e-07
525319;2.24721e-06
10231359;7.21075e-07
22233344;5.84649e-08
67409498;1.54513e-08
67075967;1.50323e-06
33292415;6.82651e-07
23741003;3.31748e-09
124621787;4.09754e-07
120033856;5.48134e-07
107155456;6.84173e-08
132329472;2.2418e-07
417;3.43977e-06
75718966;6.58724e-08
134021761;1.57126e-07
1198582;4.02778e-07
109019071;2.33726e-06
100863488;8.28461e-08
3144715;3.55834e-08
1574967;7.01988e-07
52728319;8.30006e-07
124753867;2.43801e-06
7079451;2.97414e-07
117670390;1.6554e-06
6562305;1.79916e-07
10371072;7.83039e-07
66977463;5.31092e-07
130252804;3.98007e-07
134061571;3.68422e-07
134217124;1.40014e-05
1839104;5.49772e-06
6291460;2.04543e-06
4458500;1.59943e-07
1048666;1.92936e-07
132316799;1.87233e-07
133425648;3.04324e-06
62030296;2.04502e-10
8131072;3.14686e-06
10244032;5.3675e-07
133971748;7.98445e-07
132120265;5.02121e-07
52840895;1.16407e-07
121347551;1.1109e-07
1052184;1.86983e-07
32962876;6.81674e-09
116354486;3.90963e-07
101385346;2.07229e-07
131824999;4.47633e-09
57409591;8.24575e-07
127004160;1.28382e-08
17010889;1.00751e-07
131591166;7.36412e-07
127625652;6.96671e-08
159488;8.81154e-07
4452863;4.25774e-07
1855295;3.78902e-06
18085883;1.65692e-07
102439;7.76699e-07
10387263;4.01045e-06
1209856;2.77214e-07
132083645;1.14794e-07
115324637;1.80416e-08
133983742;4.29886e-07
16645696;2.36064e-07
83782656;1.01722e-06
134184063;3.14252e-07
117407424;4.5629e-07
134085559;1.50264e-07
33422335;2.45834e-07
131333117;6.05758e-07
102699000;1.41493e-07
114978228;2.83145e-07
134191099;7.55772e-07
18727;1.50757e-06
260544;2.99723e-06
19699492;2.80168e-07
133591035;3.66059e-08
24917504;7.71746e-07
360447;8.02512e-07
96370543;4.88533e-08
76807991;8.37346e-07
4202521;1.20088e-07
66567935;5.97374e-08
115044350;5.62972e-07
23442137;1.95327e-06
115083768;9.97516e-08
245752;8.21962e-07
117837340;8.63454e-09
132374960;1.56465e-06
65266144;5.03553e-07
65517567;3.35065e-07
14417951;4.52995e-07
77594624;3.20741e-06
19358720;5.34796e-07
8388319;6.72585e-07
25083775;1.3638e-07
133824507;8.67907e-07
84082880;3.79261e-07
133996415;4.12458e-07
2536;4.00461e-07
67110427;2.42335e-07
134199534;2.06547e-08
117423615;4.42997e-07
67146532;4.11118e-07
134185462;1.84625e-06
100664835;7.38048e-07
14446095;4.75763e-07
523920;5.9442e-08
17006651;8.95038e-08
133168875;3.66513e-08
67157086;4.79898e-08
130807290;1.18075e-06
100659198;5.97828e-07
106638743;1.8262e-07
83648047;6.43477e-07
83786174;2.16772e-08
247871;6.51998e-07
116324223;1.10568e-07
134213606;2.43398e-06
310516;1.12249e-07
32799;2.35696e-06
98557422;7.29164e-08
7236608;3.46245e-07
111017672;3.43109e-09
132108271;1.81712e-06
119779791;3.45609e-08
132511483;4.68923e-07
147494;1.55297e-06
134216445;8.03012e-07
124191192;1.65874e-08
134212927;1.97311e-06
8259552;1.16271e-07
60657351;4.85511e-07
79917560;3.48813e-07
132119545;2.62535e-07
133953520;2.30928e-07
124778493;1.08618e-06
6321723;9.06854e-08
132009767;2.35518e-07
123970032;4.39634e-07
127650278;3.92485e-07
76564775;1.14817e-07
133037310;1.6442e-07
100531871;1.11885e-07
134196736;7.32913e-07
38347994;4.80921e-07
58498567;1.1394e-06
58691583;3.60855e-07
116878325;4.67174e-08
31202305;3.18796e-08
56733889;1.35062e-07
3014836;1.43379e-08
262663;1.30487e-05
115371524;1.38607e-07
119438791;1.59739e-08
45472;3.11593e-07
125800399;3.38519e-07
57522167;5.31683e-07
63162339;1.06341e-08
268300;2.5381e-07
39698071;1.6951e-08
133644287;2.26248e-07
32758;1.78117e-06
83883999;3.6949e-07
14169654;3.50608e-08
1050703;3.28703e-07
8132;9.49345e-08
131065831;3.25181e-07
134184742;1.37663e-05
5778470;3.03867e-07
16527360;1.47789e-06
134213647;3.38326e-06
57638694;3.47563e-07
31464961;1.70305e-07
105590166;2.75214e-07
133166838;7.04169e-08
81579455;2.7017e-08
14442495;3.22977e-07
121610207;7.71609e-06
94519552;5.68971e-08
14647103;1.18225e-06
134217165;3.88054e-07
525360;3.03459e-07
133938687;8.62613e-07
1055;1.65213e-06
134021123;2.60649e-07
133504;6.55998e-07
20805;5.8624e-09
83393598;7.31277e-07
113250047;5.66471e-08
9470792;1.56785e-09
79724544;1.21808e-06
132417855;4.43542e-08
118473214;5.91238e-08
120822216;8.72111e-07
120831;1.80984e-07
120042970;1.37403e-07
16760783;2.25202e-07
100775497;1.22042e-07
118288446;1.05659e-08
132349942;1.93982e-07
14942264;1.13431e-07
61079552;8.63408e-07
76639414;5.16186e-07
4614;3.25054e-06
101712128;3.41064e-07
67267584;1.39346e-06
64086256;4.75558e-07
133954878;5.60654e-07
16785409;2.99937e-07
94819179;3.3761e-07
33554743;3.57674e-07
134058422;8.60477e-07
130154497;7.26596e-07
103200;6.86196e-07
66715135;2.64365e-06
12546047;5.11255e-07
134184783;3.99006e-07
52736713;7.39389e-08
3894;1.42411e-06
117700735;4.17389e-07
67233803;1.36426e-07
29240;3.09571e-07
120058441;4.96259e-08
56877489;7.5893e-09
6600283;2.43676e-07
50577888;8.23053e-07
50429968;3.90622e-07
96431871;1.58353e-07
134114341;1.3379e-07
128155904;4.51291e-07
261943;2.27091e-05
117440567;3.39764e-06
14795023;3.22659e-09
122398198;1.44492e-07
9456679;7.80448e-07
51119104;7.90287e-08
26265700;1.68249e-05
8130311;5.07733e-07
100007935;3.9962e-07
113397247;1.77599e-07
133983783;3.8371e-06
132481220;1.72691e-08
133689342;6.00986e-07
110315904;7.69155e-07
67114068;1.38607e-08
134151681;1.69523e-06
4785282;1.16316e-07
31260671;4.23978e-07
180227;8.35051e-08
6652415;9.12761e-08
33666043;5.02394e-08
33332863;4.33181e-07
126090748;6.48136e-07
10710527;3.85827e-08
44032;1.24949e-06
131853822;3.17145e-05
10455545;6.435e-08
58523193;1.41334e-08
67107711;2.65398e-07
134103067;2.7167e-07
1576448;1.71894e-05
134106585;5.21299e-07
16978466;7.77108e-09
133976027;6.02918e-07
149654;1.35001e-06
133694979;3.77397e-07
117075046;1.40879e-08
75776;2.44732e-06
10255903;8.14123e-07
57671158;5.5561e-07
131136542;1.16566e-08
134216486;5.33319e-07
124236288;7.22263e-06
23461887;1.13569e-06
376;3.40669e-06
127123936;3.56615e-06
56471479;3.09934e-08
19100671;6.29639e-08
116914143;4.81943e-08
67111990;2.47834e-07
128184768;6.9324e-07
59044111;3.04481e-09
115338750;2.00094e-06
9456000;3.45518e-07
125677784;7.68246e-08
77336575;1.09088e-06
79584831;3.1741e-07
131514367;1.70328e-07
110250789;3.54993e-07
8389080;7.24369e-07
66683391;7.73018e-08
133107711;2.52674e-07
117648603;2.0223e-09
108740511;2.00049e-07
134214367;2.04005e-06
36955;2.19856e-06
1023999;3.37997e-07
133949920;4.20711e-06
9443327;4.99758e-07
115043712;7.95809e-07
2888703;8.4414e-07
127139407;2.17613e-07
12812344;1.29086e-07
110783798;3.98098e-07
1592639;4.59971e-07
133618541;8.19622e-07
96324048;1.8178e-10
34605062;2.24157e-07
75974945;2.00867e-08
87867103;1.73736e-07
14971848;9.76157e-08
133955639;2.30859e-05
134213688;2.91047e-06
75778052;1.40879e-07
133149248;3.5944e-06
18385920;6.58951e-07
117290569;1.82811e-06
117468711;1.19407e-07
2072527;2.14977e-07
1096;2.38731e-06
55441261;1.02251e-09
133141492;8.16418e-08
38339600;2.00412e-08
73601048;7.90742e-09
16516086;9.26622e-08
93366;8.53592e-07
132869558;3.80079e-07
100794486;7.06669e-09
68160518;6.03486e-07
77613572;2.85621e-08
115306368;1.57921e-07
4155903;3.15138e-07
114970431;2.43471e-07
134217206;4.56473e-05
14675967;1.24603e-06
102785592;5.83967e-09
65901;1.5215e-07
67108390;1.49096e-06
133152766;8.31915e-07
24942171;5.64631e-07
117337702;6.25436e-07
119763003;8.35505e-08
245711;1.52422e-07
126025984;8.30288e-06
119508472;6.94671e-07
48053911;1.50423e-08
8273583;3.04481e-09
14681604;1.44219e-07
57784536;4.78376e-07
44564480;7.76427e-08
16544312;7.86947e-07
114426148;2.96006e-07
9965062;6.94194e-07
132379116;7.62202e-07
134115020;3.06776e-07
76179235;7.83925e-09
8126752;8.4798e-07
127651039;2.72442e-08
2117664;3.48199e-07
66909819;6.42114e-07
8402432;5.87035e-07
66959071;1.68394e-06
111148991;6.70472e-07
18876672;2.93665e-07
133150647;2.19703e-07
117702175;2.40051e-06
17150971;1.01774e-07
228800;3.59106e-07
64946047;3.16728e-07
9961544;1.49089e-06
16678839;8.66317e-07
17826304;1.29148e-06
16777015;1.90437e-06
3178496;4.8642e-07
132124544;4.58289e-07
2495;2.85451e-05
117932039;1.93595e-07
